
************************************************************
0, 0, 0, 0 
13, 67, 12, 39 
71, 141, 70, 108 
148, 221, 146, 274 
237, 311, 234, 367 
426, 500, 422, 461 
511, 586, 507, 546 
597, 671, 591, 715 
768, 762, 764, 806 
868, 949, 866, 909 
952, 1034, 950, 993 
1036, 1118, 1033, 1160 
************************************************************
0, 0, 0, 0 
30, 50, 30, 23 
95, 122, 95, 87 
173, 202, 173, 243 
263, 291, 261, 353 
452, 480, 447, 438 
537, 566, 531, 524 
620, 649, 612, 692 
803, 734, 796, 784 
897, 929, 891, 886 
983, 1014, 977, 969 
1069, 1098, 1063, 1134 
************************************************************
28, 1, 27, 9 
28, 8, 27, 41 
138, 134, 137, 108 
223, 221, 221, 192 
306, 313, 304, 274 
421, 418, 417, 474 
591, 504, 587, 560 
683, 682, 680, 645 
769, 767, 765, 737 
874, 870, 868, 924 
1047, 955, 1037, 1009 
1132, 1123, 1122, 1092 
************************************************************
26, 51, 24, 16 
37, 74, 34, 20 
100, 146, 98, 70 
175, 223, 173, 231 
350, 305, 345, 315 
444, 493, 439, 419 
530, 579, 525, 504 
624, 672, 618, 681 
796, 840, 788, 764 
900, 942, 891, 867 
984, 1025, 975, 1035 
1088, 1129, 1079, 1140 
************************************************************
12, 4, 9, 13 
12, 31, 9, 82 
116, 103, 112, 155 
196, 262, 192, 235 
280, 353, 274, 318 
381, 448, 374, 504 
562, 543, 551, 599 
648, 712, 637, 682 
735, 797, 722, 768 
838, 900, 825, 954 
1009, 980, 999, 1045 
1090, 1158, 1083, 1129 
************************************************************
49, 28, 52, 8 
76, 35, 78, 8 
140, 91, 143, 111 
305, 176, 312, 199 
397, 358, 406, 282 
502, 451, 509, 393 
588, 534, 594, 563 
763, 620, 766, 648 
849, 790, 851, 734 
961, 902, 963, 837 
1044, 984, 1047, 1013 
1204, 1069, 1211, 1097 
************************************************************
26, 12, 25, 39 
72, 12, 71, 43 
142, 99, 143, 95 
224, 177, 222, 249 
317, 269, 314, 358 
508, 369, 499, 444 
594, 540, 585, 529 
681, 625, 671, 701 
765, 711, 757, 795 
875, 833, 871, 909 
1045, 1002, 1045, 993 
1125, 1086, 1128, 1076 
************************************************************
84, 52, 83, 16 
99, 78, 97, 22 
159, 144, 157, 148 
326, 221, 321, 238 
420, 414, 414, 322 
516, 500, 551, 426 
602, 585, 637, 596 
778, 711, 773, 681 
860, 848, 858, 776 
960, 948, 997, 878 
1039, 1074, 1079, 1044 
1203, 1199, 1204, 1128 
************************************************************
12, 26, 2, 65 
41, 71, 32, 84 
117, 152, 107, 148 
197, 273, 228, 318 
281, 367, 312, 412 
471, 461, 458, 507 
557, 589, 544, 593 
649, 684, 681, 687 
812, 809, 806, 855 
909, 911, 905, 958 
993, 1036, 989, 1039 
1085, 1168, 1122, 1211 
************************************************************
5, 39, 3, 37 
6, 118, 24, 120 
127, 194, 126, 197 
207, 318, 206, 280 
292, 410, 345, 364 
391, 545, 430, 549 
484, 639, 525, 644 
664, 778, 664, 741 
748, 863, 789, 826 
849, 1008, 892, 1013 
934, 1099, 982, 1103 
************************************************************
52, 4, 46, 16 
126, 16, 121, 30 
199, 118, 194, 97 
281, 198, 317, 175 
365, 342, 409, 360 
550, 425, 545, 443 
641, 559, 637, 538 
725, 645, 763, 621 
808, 772, 849, 792 
996, 874, 993, 894 
1089, 1008, 1084, 976 
1175, 1090, 1211, 1069 
