-101, -119, 142 
112, -101, -119, 142 
112, -101, -119,-319, -290, 355 
267, -319, -290, 355 
267, -319, -290, 355 
267, -319, -290, 355 
267, -319, -290, 355 
267, -319, -290, 355 
329, -319, -350, 355 
329, -319, -350, 355 
329, -319, -350, 355 
329, -319, -350, 355 
329, -319, -350, 355 
329, -319, -350, 355 
329, -319, -350, 355 
329, -319, -350, 355 
329, -319, -350, 355 
329, -387, -350, 355 
329-387, -414, 413 
391, -387, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391, -449, -414, 413 
391-665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609, -665, -632, 616 
609771, 749 
750, -800, -771, 749 
750, -800, -771, 749 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800, -771, 817 
750, -800,, -800, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 817 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
823, -870, -841, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -870, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 904 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
910, -959, -926, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -959, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 972 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
991, -1037, -1004, 1052 
1061, -1037, -1074, 1052 
1061, -1037, -1074, 1052 
1061, -1037, -1074, 1052 
1061, -1037, -1074, 1052 
1061, -1037, -1074, 1052 
1061, -1037, -1074, 1052 
1061, -1037, -1074, 1052 
1061, -1037, -1074, 1052 
 125 
57, -94, -68, 125 
57, -94, -68, 125 
57, -94, -69 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
86, -140, -96, 179 
122, -140, -136, 179 
122, -140, -136, 179 
122-260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
184, -260, -198, 242 
