-112, -130, 132 
134, -112, -130, 132 
134, -112, -130,-349, -304, 340 
303, -349, -304, 340 
367, -349, -368, 340 
367, -349, -368, 340 
367, -349, -368, 340 
367, -349, -368, 340 
367, -349, -368, 340 
367, -349, -368, 340 
367, -349, -368, 340 
367, -349, -368, 340 
367, -349, -368, 340 
367, -349, -368, 340 
367, -413, -368, 396 
367, -413, -368, 396 
367, -413, -368, 396 
367, -413, -368, 396 
367-559, -509, 531 
507, -559, -509, 531 
507, -559, -509, 531 
507, -559, -509, 531 
580, -559, -579, 531 
580, -559, -579, 531 
580, -559, -579, 531 
580, -559, -579, 531 
580, -559, -579, 531 
580, -559, -579, 531 
580, -559, -579, 531 
580, -559, -579, 531 
580, -559, -579, 531 
580, -559, -579, 531 
580, -627, -579, 600 
580, -627, -579, 600 
5806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, 806 
790, -833, -792, -864, 806 
859, -833, -864, 806 
859, -833, -864, 806 
859, -833, -864, 806 
859, -833, -864, 806 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
859, -910, -864, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -910, -950, 881 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
947, -988, -950, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -988, -1020, 959 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
1015, -1058, -1020, 1028 
