0, 0, 0, 0 
0, 42, 10, 44 
107, 112, 109, 111 
184, 239, 187, 197 
266, 331, 269, 278 
367, 466, 413, 462 
536, 549, 541, 546 
629, 685, 634, 638 
713, 769, 759, 721 
816, 911, 858, 905 
986, 994, 979, 988 
1078, 1126, 1069, 1072 
1160, 1208, 1189, 1164 
1243, 1299, 1289, 1244 
1340, 1431, 1373, 1428 
1502, 1554, 1496, 1512 
1590, 1644, 1629, 1603 
1671, 1776, 1713, 1776 
1767, 1865, 1811, 1863 
1943, 1957, 1946, 1954 
2035, 2088, 2037, 2035 
2119, 2170, 2158, 2126 
2202, 2311, 2257, 2307 
2384, 2393, 2379, 2389 
2464, 2515, 2461, 2471 
2554, 2605, 2592, 2562 
2632, 2732, 2673, 2730 
2807, 2822, 2814, 2821 
2887, 2943, 2894, 2902 
85, 8, 38, 9 
94, 13, 70, 9 
147, 108, 142, 112 
304, 184, 255, 187 
396, 266, 346, 269 
489, 410, 439, 370 
573, 536, 567, 538 
747, 630, 701, 632 
840, 764, 797, 725 
938, 861, 897, 824 
1021, 944, 1021, 907 
1105, 1078, 1112, 1080 
1282, 1203, 1234, 1162 
1375, 1304, 1323, 1243 
1465, 1387, 1453, 1342 
1548, 1511, 1535, 1507 
1716, 1601, 1667, 1598 
1796, 1723, 1750, 1679 
1892, 1820, 1894, 1778 
1970, 1939, 1975, 1940 
2133, 2063, 2101, 2023 
2216, 2144, 2223, 2104 
2309, 2242, 2321, 2185 
2402, 2365, 2400, 2366 
2577, 2494, 2525, 2446 
2661, 2575, 2647, 2536 
2743, 2657, 2738, 2618 
2840, 2797, 2830, 2799 
3009, 2887, 2964, 2889 
11, 9, 9, 33 
81, 74, 81, 38 
163, 155, 162, 90 
245, 276, 284, 250 
330, 377, 376, 350 
520, 461, 509, 433 
606, 588, 593, 516 
700, 722, 727, 692 
783, 805, 810, 776 
963, 905, 953, 877 
1043, 1029, 1036, 960 
1132, 1121, 1169, 1042 
1212, 1246, 1252, 1217 
1391, 1347, 1391, 1315 
1475, 1469, 1473, 1395 
1559, 1552, 1602, 1477 
1651, 1685, 1682, 1648 
1835, 1777, 1824, 1741 
1923, 1913, 1914, 1838 
2003, 1994, 2039, 1920 
2091, 2124, 2132, 2092 
2251, 2205, 2257, 2174 
2348, 2344, 2357, 2274 
2430, 2426, 2481, 2356 
2513, 2557, 2571, 2527 
2691, 2639, 2691, 2610 
2782, 2777, 2777, 2690 
2874, 2859, 2907, 2789 
2958, 2980, 2987, 2951 
4, 13, 3, 13 
8, 68, 26, 71 
137, 148, 137, 151 
217, 269, 217, 231 
300, 361, 360, 313 
402, 497, 444, 499 
591, 593, 588, 594 
674, 724, 668, 683 
759, 808, 790, 765 
861, 949, 890, 949 
1027, 1032, 1013, 1033 
1115, 1165, 1105, 1124 
1194, 1249, 1231, 1207 
1274, 1388, 1329, 1389 
1447, 1470, 1454, 1471 
1536, 1601, 1546, 1553 
1619, 1683, 1669, 1643 
1703, 1813, 1752, 1814 
1888, 1903, 1889, 1903 
1972, 2025, 1968, 1985 
2064, 2116, 2098, 2076 
2146, 2239, 2180, 2240 
2227, 2337, 2280, 2339 
2400, 2459, 2402, 2419 
2485, 2547, 2534, 2499 
2564, 2669, 2617, 2670 
2646, 2770, 2710, 2771 
2838, 2900, 2845, 2859 
2923, 2981, 2925, 2940 
53, 3, 15, 2 
77, 19, 68, 3 
147, 126, 148, 128 
305, 206, 270, 207 
396, 347, 363, 290 
488, 432, 500, 392 
570, 567, 594, 569 
745, 651, 720, 652 
830, 777, 803, 734 
933, 877, 942, 834 
1017, 999, 1022, 997 
1194, 1091, 1152, 1089 
1277, 1215, 1234, 1171 
1366, 1314, 1325, 1255 
1455, 1437, 1458, 1439 
1534, 1538, 1561, 1541 
1711, 1619, 1686, 1624 
1790, 1742, 1769, 1706 
1890, 1841, 1910, 1804 
1973, 1964, 1991, 1965 
2149, 2052, 2118, 2052 
2234, 2174, 2196, 2133 
2327, 2273, 2334, 2214 
2420, 2394, 2413, 2394 
2588, 2485, 2546, 2485 
2667, 2607, 2629, 2567 
2745, 2689, 2763, 2649 
2840, 2828, 2855, 2829 
3006, 2908, 2986, 2909 
